componentId,sellable,graceSku,websiteSku,type,neck,finish,capColor,capStyle,color,trimColor,applicator,convexFamily,itemName,status,typeEvidence,dotted,rollerMaterial,psdStem,psdLibrary,psdPath,psdFolder,psdMatch,psdCanvas,psdHiddenLayers,stockStatus,imageUrl,productUrl,source,confidence
CMP-CAP-SLV-13-415-03,True,CMP-CAP-SLV-13-415-03,CP13-415SprySlSh,cap,13-415,Silver,Silver,Spray,Silver,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415SlSh,20. Caps,18. 13-415 Sprayers/8 Spry13-415SlSh.psd,18. 13-415 Sprayers,alias-map,"[570, 1060]",0,In Stock,,https://www.bestbottles.com/product/spray-top-shiny-silver-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SBLK-13-415,True,CMP-CAP-SBLK-13-415,,cap-review,13-415,Clear,,,Clear,,N/A,Cap/Component,Short shiny black or closure for glass bottle with foam liner. Thread size 13-415,quarantine,family=Cap/Component (alias-looking record),False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/Short-Caps-lids-top-bottle-shiny-black-Color-13-415,convex:products (dev) 2026-09-25,low
CMP-CAP-BLK-S-13-415,True,CMP-CAP-BLK-S-13-415,CP13-415BlkSht,roll-on-cap,13-415,Black,Black,Short,Black,,Cap/Closure,Roll-On Cap,"Black lid or closure for glass bottle, Thread size 13-415",current,family=Roll-On Cap,False,,CP13-415BlkSht,20. Caps,17. 13-415 Caps /1. CP13-415BlkSht.psd,17. 13-415 Caps,exact,"[674, 978]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-short-top-bottle-white-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SGLD-13-415-01,True,CMP-CAP-SGLD-13-415-01,CP13-415Gl,roll-on-cap,13-415,Shiny Gold,Shiny Gold,,Gold,,Cap/Closure,Roll-On Cap,"Shiny gold lid or closure for glass bottle, Thread size 13-415",current,family=Roll-On Cap,False,,CP13-415Gl,20. Caps,17. 13-415 Caps /4. CP13-415Gl.psd,17. 13-415 Caps,exact,"[674, 978]",1,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-gold-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SLV-13-415-01,True,CMP-CAP-SLV-13-415-01,CP13-415Sl,roll-on-cap,13-415,Silver,Silver,,Silver,,Cap/Closure,Roll-On Cap,"Shiny silver lid or closure for glass bottle, Thread size 13-415",current,family=Roll-On Cap,False,,CP13-415Sl,20. Caps,17. 13-415 Caps /3. CP13-415Sl.psd,17. 13-415 Caps,exact,"[674, 978]",1,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-silver-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-WHT-S-13-415,True,CMP-CAP-WHT-S-13-415,CP13-415WhtSht,roll-on-cap,13-415,White,White,Short,White,,Cap/Closure,Roll-On Cap,"White lid or closure for glass bottle, Thread size 13-415",current,family=Roll-On Cap,False,,CP13-415WhtSht,20. Caps,17. 13-415 Caps /2. CP13-415WhtSht.psd,17. 13-415 Caps,exact,"[674, 978]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-short-top-bottle-black-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-BLK-13415-DOT,True,CMP-ROC-BLK-13415-DOT,CPRoll13-415BlackDot,roll-on-cap,13-415,Black,Black,Roll-On,Black,,Plastic Roller Ball,Roll-On Cap,"Shiny black cap with dots or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,True,,CPRoll13-415BlackDot,20. Caps,19. 13-415 Roll on/1. CPRoll13-415BlackDot.psd,19. 13-415 Roll on,exact,"[674, 978]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-dot-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-SBLK-13415,True,CMP-ROC-SBLK-13415,CPRoll13-415BlkSh,roll-on-cap,13-415,Black,Black,Roll-On,Black,,Plastic Roller Ball,Roll-On Cap,"Shiny Black cap or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,False,,CPRoll13-415BlkSh,20. Caps,19. 13-415 Roll on/9. CPRoll13-415BlkSh.psd,19. 13-415 Roll on,exact,"[674, 978]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-shiny-Black-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-MCPR-13415,True,CMP-ROC-MCPR-13415,CPRoll13-415Cu,roll-on-cap,13-415,Copper,Copper,Roll-On,Copper,,Plastic Roller Ball,Roll-On Cap,"Matte Copper cap or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,False,,CPRoll13-415Cu,20. Caps,19. 13-415 Roll on/7. CPRoll13-415Cu.psd,19. 13-415 Roll on,exact,"[674, 978]",2,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-copper-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-MGLD-13415,True,CMP-ROC-MGLD-13415,CPRoll13-415GlMt,roll-on-cap,13-415,Shiny Gold,Shiny Gold,Roll-On,Gold,,Plastic Roller Ball,Roll-On Cap,"Matte Gold cap or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,False,,CPRoll13-415GlMt,20. Caps,19. 13-415 Roll on/5. CPRoll13-415GlMt.psd,19. 13-415 Roll on,exact,"[674, 978]",5,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-matte-gold-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-SGLD-13415,True,CMP-ROC-SGLD-13415,CPRoll13-415GlSh,roll-on-cap,13-415,Shiny Gold,Shiny Gold,Roll-On,Gold,,Plastic Roller Ball,Roll-On Cap,"Shiny Gold cap or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,False,,CPRoll13-415GlSh,20. Caps,19. 13-415 Roll on/8. CPRoll13-415GlSh.psd,19. 13-415 Roll on,exact,"[674, 978]",1,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-shiny-gold-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-PNK-13415-DOT,True,CMP-ROC-PNK-13415-DOT,CPRoll13-415PinkDot,roll-on-cap,13-415,Pink,Pink,Roll-On,Pink,,Plastic Roller Ball,Roll-On Cap,"Pink cap with dots or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,True,,CPRoll13-415PinkDot,20. Caps,19. 13-415 Roll on/4. CPRoll13-415PinkDot.psd,19. 13-415 Roll on,exact,"[674, 978]",6,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-pink-dot-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-SLV-13415-DOT,True,CMP-ROC-SLV-13415-DOT,CPRoll13-415SlDot,roll-on-cap,13-415,Silver,Silver,Roll-On,Silver,,Plastic Roller Ball,Roll-On Cap,"Silver cap with dots or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,True,,CPRoll13-415SlDot,20. Caps,19. 13-415 Roll on/2. CPRoll13-415SlDot.psd,19. 13-415 Roll on,exact,"[674, 978]",8,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-MSLV-13415,True,CMP-ROC-MSLV-13415,CPRoll13-415SlMt,roll-on-cap,13-415,Silver,Silver,Roll-On,Silver,,Plastic Roller Ball,Roll-On Cap,"Matte silver cap or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,False,,CPRoll13-415SlMt,20. Caps,19. 13-415 Roll on/3. CPRoll13-415SlMt.psd,19. 13-415 Roll on,exact,"[674, 978]",7,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-mattr-silver-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-ROC-SSLV-13415,True,CMP-ROC-SSLV-13415,CPRoll13-415SlSh,roll-on-cap,13-415,Silver,Silver,Roll-On,Silver,,Plastic Roller Ball,Roll-On Cap,"Shiny Silver cap or closure for rollon bottles, Threadsize 13-415",current,family=Roll-On Cap,False,,CPRoll13-415SlSh,20. Caps,19. 13-415 Roll on/6. CPRoll13-415SlSh.psd,19. 13-415 Roll on,exact,"[674, 978]",4,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-shiny-silver-Color-13-415,convex:products (dev) 2026-09-25,high
CMP-SPR-MTCP-13-415-01,True,CMP-SPR-MTCP-13-415-01,13-415CAP4SpryCuMt,fine-mist-sprayer,13-415,Matte Copper,Matte Copper,Spray,Matte Copper,,Fine Mist Sprayer,Sprayer,Sprayer Matte Copper Thread 13-415,current,family=Sprayer,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/spray-top-copper-13-415,convex:products (dev) 2026-09-25,medium
CMP-SPR-SHGD-13-415-01,True,CMP-SPR-SHGD-13-415-01,13-415CAP4SpryGlSh,fine-mist-sprayer,13-415,Shiny Gold,Shiny Gold,Spray,Shiny Gold,,Fine Mist Sprayer,Sprayer,Sprayer Shiny Gold Thread 13-415,current,family=Sprayer,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-gold-Color-13-415,convex:products (dev) 2026-09-25,medium
CMP-SPR-MTSL-13-415-01,True,CMP-SPR-MTSL-13-415-01,13-415CAP4SprySlMt,fine-mist-sprayer,13-415,Matte Silver,Matte Silver,Spray,Matte Silver,,Fine Mist Sprayer,Sprayer,Sprayer Matte Silver Thread 13-415,current,family=Sprayer,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-silver-Color-13-415,convex:products (dev) 2026-09-25,medium
CMP-SPR-MTBK-13-415-07,True,CMP-SPR-MTBK-13-415-07,CP13-415SpryBlkMt__RETIRED__CMP-SPR-MTBK-13-415-07__kd72baqmp72ys1hmvztz5mk1w581t3vm,fine-mist-sprayer,13-415,Black,Black,Spray,,,,Sprayer,"Matte black Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-matte-black-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-SHBK-13-415-07,True,CMP-SPR-SHBK-13-415-07,CP13-415SpryBlkSh__RETIRED__CMP-SPR-SHBK-13-415-07__kd7fv9jptth8sycbfevk9dm7hh81t1m5,fine-mist-sprayer,13-415,Black,Black,Spray,,,,Sprayer,"Shiny black Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-shiny-black-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-MTBL-13-415-07,True,CMP-SPR-MTBL-13-415-07,CP13-415SpryBluMt__RETIRED__CMP-SPR-MTBL-13-415-07__kd740pmxrjeycm4j4zb7d5cja181v80r,fine-mist-sprayer,13-415,Blue,Blue,Spray,,,,Sprayer,"Matte blue Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-matte-blue-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-MTCP-13-415-07,True,CMP-SPR-MTCP-13-415-07,CP13-415SpryCuMt,fine-mist-sprayer,13-415,Copper,Copper,Spray,,,,Sprayer,"Matte Copper Fine Mist Sprayer, Thread size 13-415",current,family=Sprayer,False,,Spry13-415CuMt,20. Caps,18. 13-415 Sprayers/2. Spry13-415CuMt.psd,18. 13-415 Sprayers,alias-map,"[570, 1060]",0,In Stock,,https://www.bestbottles.com/product/spray-top-copper-13-415,convex:products (dev) 2026-09-25,high
CMP-SPR-MTGD-13-415-07,True,CMP-SPR-MTGD-13-415-07,CP13-415SpryGlMt__RETIRED__CMP-SPR-MTGD-13-415-07__kd7fh3qwsytnvqp8jd7h7echq581tntw,fine-mist-sprayer,13-415,Shiny Gold,Shiny Gold,Spray,,,,Sprayer,"Matte gold Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-matte-gold-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-SHGD-13-415-07,True,CMP-SPR-SHGD-13-415-07,CP13-415SpryGlSh__RETIRED__CMP-SPR-SHGD-13-415-07__kd7cr6yqfsxemgm3rd74zcf6ks81tm1y,fine-mist-sprayer,13-415,Shiny Gold,Shiny Gold,Spray,,,,Sprayer,"Shiny gold Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-shiny-gold-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-MTSL-13-415-07,True,CMP-SPR-MTSL-13-415-07,CP13-415SprySlMt__RETIRED__CMP-SPR-MTSL-13-415-07__kd76392bqmeh4kbzfm81283z5981vhd3,fine-mist-sprayer,13-415,Silver,Silver,Spray,,,,Sprayer,"Matte silver Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-matte-silver-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-SHSL-13-415-07,True,CMP-SPR-SHSL-13-415-07,CP13-415SprySlSh__RETIRED__CMP-SPR-SHSL-13-415-07__kd7213hha1xkgtw0tbys446sen81vrnn,fine-mist-sprayer,13-415,Silver,Silver,Spray,,,,Sprayer,"Shiny silver Fine Mist Sprayer, Thread size 13-415",retired,family=Sprayer,False,,,,,,,,,Discontinued,,https://www.bestbottles.com/product/spray-top-shiny-silver-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-RED-02,True,CMP-SPR-RED-02,GBATom5RedBurg,fine-mist-sprayer,13-415,Red,Red,Spray,,,Fine Mist Sprayer,Sprayer,Sprayer Red,current,family=Sprayer,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/spray-top-black-trim-color-17-415,convex:products (dev) 2026-09-25,medium
CMP-CLS-BLK-13-425,True,CMP-CLS-BLK-13-425,CP13-425Blk,cap,13-425,Black,Black,,,,Cap/Closure,Cap/Closure,Cap/Closure Black Thread 13-425,current,family=Cap/Closure,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/caps-lids-top-bottle-black-color-1oz-20-400,convex:products (dev) 2026-09-25,medium
CMP-CLS-WHT-13-425,True,CMP-CLS-WHT-13-425,CP13-425Wht,cap,13-425,White,White,,,,Cap/Closure,Cap/Closure,Cap/Closure White Thread 13-425,current,family=Cap/Closure,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/dropper-white-rubber-bulb-copper-trim-glass-pipette,convex:products (dev) 2026-09-25,medium
CMP-CAP-SGLD-15-415,True,CMP-CAP-SGLD-15-415,CP15-415ShnGl,roll-on-cap,15-415,Shiny Gold,Shiny Gold,,Gold,,Cap/Closure,Roll-On Cap,Shiny Gold color Cap or Closure for 15-415,current,family=Roll-On Cap,False,,CP15-415ShnGl,20. Caps,15. 15-415 Caps/7. CP15-415ShnGl.psd,15. 15-415 Caps,exact,"[488, 588]",1,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-gold-Color-15-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SSLV-15-415,True,CMP-CAP-SSLV-15-415,CP15-415ShnSl,roll-on-cap,15-415,Shiny Silver,Shiny Silver,,Silver,,Cap/Closure,Roll-On Cap,Shiny Silver color Cap or Closure for 15-415,current,family=Roll-On Cap,False,,CP15-415ShnSl,20. Caps,15. 15-415 Caps/6. CP15-415ShnSl.psd,15. 15-415 Caps,exact,"[488, 588]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-bottle-shiny-silver-Color-15-415,convex:products (dev) 2026-09-25,high
CMP-SPR-BLK-15-415,True,CMP-SPR-BLK-15-415,Spry15-415Blk,fine-mist-sprayer,15-415,Black,Black,Spray,Black,,Fine Mist Sprayer,Sprayer,"Shiny Black Fine Mist Sprayer, Thread size 15-415",current,family=Sprayer,False,,Spry15-415Blk,20. Caps,16. 15-415 Sprayer/1. Spry15-415Blk.psd,16. 15-415 Sprayer,exact,"[488, 588]",0,In Stock,,https://www.bestbottles.com/product/spray-top-shiny-black-color-15-415,convex:products (dev) 2026-09-25,high
CMP-SPR-GLD-15-415,True,CMP-SPR-GLD-15-415,Spry15-415MattGl,fine-mist-sprayer,15-415,Matte Gold,Matte Gold,Spray,Gold,,Fine Mist Sprayer,Sprayer,"Matte Gold Fine Mist Sprayer, Thread size 15-415",current,family=Sprayer,False,,Spry15-415MattGl,20. Caps,16. 15-415 Sprayer/5. Spry15-415MattGl.psd,16. 15-415 Sprayer,exact,"[488, 588]",0,In Stock,,https://www.bestbottles.com/product/spray-top-matte-gold-color-15-415,convex:products (dev) 2026-09-25,high
CMP-SPR-SLV-15-415,True,CMP-SPR-SLV-15-415,Spry15-415MattSl,fine-mist-sprayer,15-415,Matte Silver,Matte Silver,Spray,Silver,,Fine Mist Sprayer,Sprayer,"Matte Silver Fine Mist Sprayer, Thread size 15-415",current,family=Sprayer,False,,Spry15-415MattSl,20. Caps,16. 15-415 Sprayer/4. Spry15-415MattSl.psd,16. 15-415 Sprayer,exact,"[488, 588]",0,In Stock,,https://www.bestbottles.com/product/spray-top-matte-silver-color-15-415,convex:products (dev) 2026-09-25,high
CMP-SPR-SGLD-15-415,True,CMP-SPR-SGLD-15-415,Spry15-415ShnGl,fine-mist-sprayer,15-415,Shiny Gold,Shiny Gold,Spray,Gold,,Fine Mist Sprayer,Sprayer,"Shiny Gold Fine Mist Sprayer, Thread size 15-415",current,family=Sprayer,False,,Spry15-415ShnGl,20. Caps,16. 15-415 Sprayer/2. Spry15-415ShnGl.psd,16. 15-415 Sprayer,exact,"[488, 588]",0,In Stock,,https://www.bestbottles.com/product/spray-top-shiny-gold-color-15-415,convex:products (dev) 2026-09-25,high
CMP-SPR-SSLV-15-415,True,CMP-SPR-SSLV-15-415,Spry15-415ShnSl,fine-mist-sprayer,15-415,Shiny Silver,Shiny Silver,Spray,Silver,,Fine Mist Sprayer,Sprayer,"Shiny Silver Fine Mist Sprayer, Thread size 15-415",current,family=Sprayer,False,,Spry15-415ShnSl,20. Caps,16. 15-415 Sprayer/3. Spry15-415ShnSl.psd,16. 15-415 Sprayer,exact,"[488, 588]",0,In Stock,,https://www.bestbottles.com/product/spray-top-shiny-silver-color-15-415,convex:products (dev) 2026-09-25,high
CMP-CAP-BDOT-17-415,True,CMP-CAP-BDOT-17-415,,cap-review,17-415,Clear,,,Clear,,N/A,Cap/Component,Black with dots cap or closure for rollon bottles. Metal shell cap with plastic insert that has special features for pre,quarantine,family=Cap/Component (alias-looking record),False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-Dot-Color-17-415,convex:products (dev) 2026-09-25,low
CMP-DRP-AMB,True,CMP-DRP-AMB,Droppers1ozElg,dropper,17-415,Amber,Amber,Dropper,,,Dropper,Dropper,Dropper Amber,current,family=Dropper,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/dropper-black-rubber-bulb-black-trim-glass-pipette-15ml,convex:products (dev) 2026-09-25,medium
CMP-ROC-BLK-17415-DOT,True,CMP-ROC-BLK-17415-DOT,CpRoll17-415BlkDot,roll-on-cap,17-415,Black,Black,Roll-On,Black,,Plastic Roller Ball,Roll-On Cap,"Black with dots cap or closure for rollon bottles, Threadsize 17-415",current,family=Roll-On Cap,True,,CpRoll17-415BlkDot,20. Caps,12. 17-415 Roll on/2. CpRoll17-415BlkDot.psd,12. 17-415 Roll on,exact,"[552, 736]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-Dot-Color-17-415,convex:products (dev) 2026-09-25,high
CMP-ROC-CPR-17415,True,CMP-ROC-CPR-17415,CpRoll17-415Cu,roll-on-cap,17-415,Copper,Copper,Roll-On,Copper,,Plastic Roller Ball,Roll-On Cap,"Copper cap or closure for rollon bottles, Threadsize 17-415",current,family=Roll-On Cap,False,,CpRoll17-415Cu,20. Caps,12. 17-415 Roll on/8. CpRoll17-415Cu.psd,12. 17-415 Roll on,exact,"[552, 736]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Copper-Color-17-415,convex:products (dev) 2026-09-25,high
CMP-ROC-MGLD-17415,True,CMP-ROC-MGLD-17415,CpRoll17-415MattGl,roll-on-cap,17-415,Matte Gold,Matte Gold,Roll-On,Gold,,Plastic Roller Ball,Roll-On Cap,"Matte gold cap or closure for rollon bottles, Threadsize 17-415",current,family=Roll-On Cap,False,,CpRoll17-415MattGl,20. Caps,12. 17-415 Roll on/5. CpRoll17-415MattGl.psd,12. 17-415 Roll on,exact,"[552, 736]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Gold-Color-17-415,convex:products (dev) 2026-09-25,high
CMP-ROC-MSLV-17415,True,CMP-ROC-MSLV-17415,CpRoll17-415MattSl,roll-on-cap,17-415,Matte Silver,Matte Silver,Roll-On,Silver,,Plastic Roller Ball,Roll-On Cap,"Matte Silver cap or closure for rollon bottles, Threadsize 17-415",current,family=Roll-On Cap,False,,CpRoll17-415MattSl,20. Caps,12. 17-415 Roll on/1. CpRoll17-415MattSl.psd,12. 17-415 Roll on,exact,"[552, 736]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Silver-Color-17-415,convex:products (dev) 2026-09-25,high
CMP-ROC-PNK-17415-DOT,True,CMP-ROC-PNK-17415-DOT,CpRoll17-415PnkDot,roll-on-cap,17-415,Pink,Pink,Roll-On,Pink,,Plastic Roller Ball,Roll-On Cap,"Pink with dots cap or closure for rollon bottles, Threadsize 17-415",current,family=Roll-On Cap,True,,CpRoll17-415PnkDot,20. Caps,12. 17-415 Roll on/4. CpRoll17-415PnkDot.psd,12. 17-415 Roll on,exact,"[552, 736]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Pink-Dot-Color-17-415,convex:products (dev) 2026-09-25,high
CMP-ROC-SBLK-17415,True,CMP-ROC-SBLK-17415,CpRoll17-415ShnBlk,roll-on-cap,17-415,Shiny Black,Shiny Black,Roll-On,Black,,Plastic Roller Ball,Roll-On Cap,"Shiny black cap or closure for rollon bottles, Threadsize 17-415",current,family=Roll-On Cap,False,,CpRoll17-415ShnBlk,20. Caps,12. 17-415 Roll on/9. CpRoll17-415ShnBlk.psd,12. 17-415 Roll on,exact,"[552, 736]",0,In Stock,,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Shiny-Black-Color-17-415,convex:products (dev) 2026-09-25,high
