kind,key,websiteSku,neck,reason,evidence,action
assembly,PB-CYL-CLR-118ML-WFLP,PbClear4ozFlpWh,,no neck finish on the record,convex:products (dev) 2026-09-25,resolve before composing
assembly,PB-CYL-227ML-WFLP,PbClear8ozFlpWh,,no neck finish on the record,convex:products (dev) 2026-09-25,resolve before composing
assembly,PB-CYL-454ML-WFLP,PbNat16ozFlpWh,,no neck finish on the record,convex:products (dev) 2026-09-25,resolve before composing
assembly,LB-LTB-CLR-30ML-SGLD-T,LB1ozGl,,no neck finish on the record,convex:products (dev) 2026-09-25,resolve before composing
assembly,LB-LTB-CLR-30ML-SLV-T,LB1ozSl,,no neck finish on the record,convex:products (dev) 2026-09-25,resolve before composing
assembly,CMP-SPR-CLR-10ML,PB10SpryNat,,no neck finish on the record,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,10mm,non-thread neck '10mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-SLM-CLR-5ML-ATM-GLD-T,GBAtom5SlimGl,10mm,non-thread neck '10mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-SLM-CLR-5ML-ATM-SLV-T,GBAtom5SlimSl,10mm,non-thread neck '10mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-RYL-CLR-14ML-T,GBMtlCylGl,11mm,non-thread neck '11mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-DEC-CLR-5ML-T,GBMtlMrblSmall,17.52mm,non-thread neck '17.52mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-DEC-CLR-10ML-T,GBMtlMrblLarge,17.52mm,non-thread neck '17.52mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,LB-LTB-CLR-30ML-T,LBMetalSilver1oz,18mm,non-thread neck '18mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-CBL-9ML,CJBlu3,20mm,non-thread neck '20mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-CLR-3ML,CJClr3,20mm,non-thread neck '20mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-AMB-5ML-BLK,CJAmb5mlBlkCap,27mm,non-thread neck '27mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-CLR-5ML-CLR,CJClr5mlClrCap,27mm,non-thread neck '27mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-CLR-15ML-PNK,CJClr15Pnk,37mm,non-thread neck '37mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-CLR-15ML-WHT,CJClr15Wht,37mm,non-thread neck '37mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-20ML-WHT,CJWhite20,40mm,non-thread neck '40mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-AMB-30ML-BLK,CJAmb30BlkCap,45mm,non-thread neck '45mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-AMB-30ML-SLV,CJAmb30SlCap,45mm,non-thread neck '45mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-FRS-30ML-BLK,CJFrst30BlkCap,45mm,non-thread neck '45mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-FRS-30ML-SLV,CJFrst30SlCap,45mm,non-thread neck '45mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-AMB-40ML-01,CreamJarAmb40Blkcap,48/400,non-thread neck '48/400' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-AMB-40ML-02,CJAmb40SlCap,48/400,non-thread neck '48/400' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-FRS-40ML-01,CJFrst40BlkCap,48/400,non-thread neck '48/400' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-FRS-40ML-02,CJFrst40SlCap,48/400,non-thread neck '48/400' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-FRS-60ML,CreamJarFrstdPlsBlkPls2oz,58mm,non-thread neck '58mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-60ML-WHT,CJWhitePlsSlFr2oz,58mm,non-thread neck '58mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-DEC-FRS-4ML-GST-GLD-T,GBHeartFrst4KeyGld,8mm,non-thread neck '8mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-DEC-FRS-4ML-GST-RED-T,GBHeartFrst4TslRed,8mm,non-thread neck '8mm' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-APT-BLU-15ML-BLU-T,GB15ApthBlue,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-APT-BLU-30ML-BLU-T,GB1ozApthBlue,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-APT-CLR-30ML-T,GB1ozApth,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-APT-GRN-30ML-GRN-T,GB1ozApthGreen,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-DEC-CLR-118ML,GBPearClear4ozStpr,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-GNI-BLU-32ML,GB1ozGenieBl,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-GNI-CLR-32ML,GB1ozGenieCl,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-ETF-BLU-35ML,GBEternalFlameBlue,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-ETF-CLR-35ML,GBEternalFlameClear,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-ETF-GRN-35ML,GBEternalFlameGreen,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-DEC-CLR-355ML-T,GBCB12ozPear,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-RCT-CLR-9ML-T-01,GBSQSTBlue,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-RCT-CLR-9ML-T-02,GBSQSTClear,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-RCT-CLR-9ML-T-03,GBSQSTGREEN,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-TRD-BLU-9ML,GBTrdpBlue,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-TRD-CLR-9ML,GBTRDPClear,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-TRD-GRN-9ML,GBTRDPGreen,Ground,non-thread neck 'Ground' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,CJ-JAR-AMB-5ML-SLV,CJAmb5mlSlCap,PRESS-FIT,non-thread neck 'PRESS-FIT' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-VIA-AMB-1ML-WHT-T,GB1mlAmbVialWht,Plug,non-thread neck 'Plug' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-VIA-CLR-1ML,GB1mlAmbVBlk,Plug,non-thread neck 'Plug' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-VIA-CLR-1ML-BLK-T,GB1mlVBlk,Plug,non-thread neck 'Plug' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,GB-VIA-CLR-1ML-WHT-T,GB1mlVWht,Plug,non-thread neck 'Plug' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
assembly,LB-LTB-CLR-3ML-CLR-T,LB3mlClear,Snap-On,non-thread neck 'Snap-On' — classify before composing,convex:products (dev) 2026-09-25,resolve before composing
review-2026-09-23,,,13-415,"{""component_scope"": ""CP13-415Gl"", ""source_truth"": ""13-415 gold tall liner cap; 24 mm; not a roller cap"", ""current_convex_observation"": ""Family is Roll-On Cap despite applicator Cap/Closure"", ""recommen",neck-thread-13-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,,,13-415,"{""component_scope"": ""CP13-415Sl"", ""source_truth"": ""13-415 silver tall liner cap; 24 mm; not a roller cap"", ""current_convex_observation"": ""Family is Roll-On Cap despite applicator Cap/Closure"", ""recomm",neck-thread-13-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,,,13-415,"{""component_scope"": ""CP13-415BlkSht and CP13-415WhtSht"", ""source_truth"": ""13-415 short ribbed caps; black and white"", ""current_convex_observation"": ""Family is Roll-On Cap despite applicator Cap/Closur",neck-thread-13-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,,,13-415,"{""component_scope"": ""13-415CpBlkShShtMtl"", ""source_truth"": ""13-415 short liner cap; shiny black; website option 3971"", ""current_convex_observation"": ""One Cap/Component record has no websiteSku and the",neck-thread-13-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,,,13-415,"{""component_scope"": ""Website options 3972-3976"", ""source_truth"": ""Five additional short liner-cap finishes: copper; matte gold; shiny gold; matte silver; shiny silver"", ""current_convex_observation"": """,neck-thread-13-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,,,13-415,"{""component_scope"": ""CPRoll13-415 family"", ""source_truth"": ""Nine roll-on caps: six solid and three dotted; fit over either plastic or metal insert"", ""current_convex_observation"": ""Nine component recor",neck-thread-13-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3736"", ""website_sku_or_image"": ""CP13-415BlkSht"", ""normalized_component"": ""Short ribbed cap"", ""finish"": ""Black"", ""height_evidence"": ""Website thumbnail and master art"", ""decision""",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3737"", ""website_sku_or_image"": ""CP13-415WhtSht"", ""normalized_component"": ""Short ribbed cap"", ""finish"": ""White"", ""height_evidence"": ""Website thumbnail and master art"", ""decision""",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3971"", ""website_sku_or_image"": ""13-415CpBlkShShtMtl"", ""normalized_component"": ""Short liner cap"", ""finish"": ""Shiny black"", ""height_evidence"": ""17 mm standalone component page"", """,neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3972"", ""website_sku_or_image"": ""13-415CpCuSht"", ""normalized_component"": ""Short liner cap"", ""finish"": ""Matte copper"", ""height_evidence"": ""Website selectable option"", ""decision"": ",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3973"", ""website_sku_or_image"": ""13-415CpGlMattSht"", ""normalized_component"": ""Short liner cap"", ""finish"": ""Matte gold"", ""height_evidence"": ""Website selectable option"", ""decision""",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3974"", ""website_sku_or_image"": ""13-415CpGlSht"", ""normalized_component"": ""Short liner cap"", ""finish"": ""Shiny gold"", ""height_evidence"": ""5 mL Cylinder assembled height 59 mm versu",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3975"", ""website_sku_or_image"": ""13-415CpSlMattSht"", ""normalized_component"": ""Short liner cap"", ""finish"": ""Matte silver"", ""height_evidence"": ""Website selectable option"", ""decisio",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3976"", ""website_sku_or_image"": ""13-415CpSlSht"", ""normalized_component"": ""Short liner cap"", ""finish"": ""Shiny silver"", ""height_evidence"": ""Website source image shorter than CP13-4",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3739"", ""website_sku_or_image"": ""CP13-415Gl"", ""normalized_component"": ""Tall liner cap"", ""finish"": ""Shiny gold"", ""height_evidence"": ""24 mm standalone component page; 5 mL Cylinder",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,,,13-415,"{""website_option_id"": ""3738"", ""website_sku_or_image"": ""CP13-415Sl"", ""normalized_component"": ""Tall liner cap"", ""finish"": ""Shiny silver"", ""height_evidence"": ""24 mm standalone component page"", ""decision""",neck-thread-13-415-2026-09-23/cap-identity-review.csv,
review-2026-09-23,CP15-415ShnGl; CP15-415ShnSl,,15-415,Hard-plastic liner caps classified as Roll-On Cap,neck-thread-15-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,Owner-confirmed 15-415 black ribbed cap; exact SKU unresolved,,15-415,Small black ribbed liner cap missing from current catalog sources,neck-thread-15-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,Five 15-415 fine-mist sprayers across Circle and Elegant 30 mL,,15-415,Thread match does not establish sprayer dip-tube length,neck-thread-15-415-2026-09-23/component-remedy-register.csv,
review-2026-09-23,"3 component records: Ltn17-415Blk, Ltn17-415Gl, Ltn17-415MattSl",,17-415,Treatment pumps classified as roll-on caps,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Classify as treatment pumps and retain three exact finish variants
review-2026-09-23,10 CpRoll17-415 component records,,17-415,Roller outer caps tied only to plastic ball,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Model cap independently from roller insert material; offer either exact assembly path
review-2026-09-23,2 materials: plastic ball and metal ball,,17-415,Roller insert absent as separate compatibility part,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Record insert material in each roller assembly and expose it alongside the cap; verify whether standalone insert SKUs exist before creating products
review-2026-09-23,"1 Cap/Component record: CMP-CAP-BDOT-17-415, blank websiteSku",,17-415,Duplicate-looking black dotted cap alias,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Reconcile ID and linked assembly references; count one sellable black dotted variant unless evidence proves two
review-2026-09-23,1 component: Droppers1ozElg,,17-415,18-400 dropper marked 17-415,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Correct thread association after checking SKU lineage; exclude from 17-415 rail now
review-2026-09-23,1 glass record: GBPillar9SpryBlkMatt,,17-415,Pillar spray exception unverified,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Confirm legacy source SKU and neck measurement before adding Pillar to either 17-415 or 13-415 diagram
review-2026-09-23,Black capped and uncapped PSD folders; no current 17-415 Convex glass row,,17-415,Black 9 mL Cylinder is archive-only in this export,neck-thread-17-415-2026-09-23/component-remedy-register.csv,Check current website and sellability before introducing black as a sixth active finish
review-2026-09-23,GB09BlackCapApp; GB09BlackCapSht,,18-400,9 mL vial lists six 66 mm droppers,neck-thread-18-400-2026-09-23/component-remedy-register.csv,Confirm internal vial depth and exact legacy sold assemblies; suppress the six droppers from vial selectors unless a fit-tested length-specific SKU exists.
review-2026-09-23,CMP-DRP-BLK-18400-90MM,,18-400,Grace component ID says 90MM while source description says 66 mm,neck-thread-18-400-2026-09-23/component-remedy-register.csv,Resolve the Grace alias against the exact legacy component SKU and measured stem; keep 66 mm source identity until corrected.
review-2026-09-23,GBBstn15BlkDrp,,18-400,Clear Boston Round black-dropper assembly has an empty Convex list,neck-thread-18-400-2026-09-23/component-remedy-register.csv,Reconcile this exact assembly against its legacy PDP; attach only verified component SKUs rather than inheriting the family list.
review-2026-09-23,All 18-400 Boston Round,,18-400,Assembled SKU coverage is uneven across colors,neck-thread-18-400-2026-09-23/component-remedy-register.csv,Check any desired missing clear assemblies by exact legacy SKU before adding or removing product records.
review-2026-09-23,GBSpry1ozGl and GBSpry1ozSl,,18-415,30 mL Cylinder exception mixed with interchangeable family,neck-thread-18-415-2026-09-23/component-remedy-register.csv,Keep two fixed spray products in a separate exception group. Do not attach the 25/50/100 mL Cylinder component matrix or infer 45 choices.
review-2026-09-23,18-415 reducer-plus-cap assemblies across multiple families,,18-415,Reducer assembly hides the insert,neck-thread-18-415-2026-09-23/component-remedy-register.csv,Represent cap and reducer insert as distinct parts in assembly data. Check standalone SKU/sellability before creating a product.
review-2026-09-23,Short shiny-black travel / liner cap; white untasseled vintage bulb sprayer,,18-415,Website selector omits two source-evidenced variants,neck-thread-18-415-2026-09-23/component-remedy-register.csv,"Resolve whether each is sold standalone and align selector, component identity, and assembly coverage; retain on the source-evidenced plate with a marker."
review-2026-09-23,18-415CAP4SpryMtGl / ShnBlk and CP18-415AnSpPnk / AnSpTslGl,,18-415,Component alias and naming drift,neck-thread-18-415-2026-09-23/component-remedy-register.csv,"Resolve exact IDs against source images and assembled SKUs before counting, relabeling, or deleting."
review-2026-09-23,Ltn18-415SqClr master image,,18-415,Archive-only square clear treatment pump,neck-thread-18-415-2026-09-23/component-remedy-register.csv,Verify SKU and current sellability before adding as an eighth pump.
review-2026-09-23,"22 body formats, 29 finish-specific source checks",,18-415,Thread alone does not prove every assembly,neck-thread-18-415-2026-09-23/component-remedy-register.csv,"Use body-component-coverage.csv as observed assembly evidence; check insert seating, dip-tube length, collar, and exact SKU before enabling a choice."
review-2026-09-23,Both plastic-ball and metal-ball 20-400 Boston Round rollers,,20-400,Roller plugs are present in assemblies but absent as standalone component records,neck-thread-20-400-2026-09-23/component-remedy-register.csv,Preserve roller material in the assembly association; identify exact plug SKUs and standalone sellability before adding component records
review-2026-09-23,Six finish designs each for 30 mL and 60 mL,,20-400,Dropper stems have two size-specific identities despite shared art,neck-thread-20-400-2026-09-23/component-remedy-register.csv,Keep 76 mm and 90 mm SKUs separate in selection and purchasing; one shared picture per finish on the print sheet is visual-only
review-2026-09-23,30 mL: three dropper and one metal-roller gaps; 60 mL: one metal-roller gap on amber and two gaps on cobalt,,20-400,Seven fewer assembled records than a complete 19-option pattern across six bodies,neck-thread-20-400-2026-09-23/component-remedy-register.csv,Check exact legacy SKU availability for each missing combination before deciding whether any Convex row is omitted
review-2026-09-23,16 vial rows,,small-format-neck,"{""thread"": ""13-425"", ""scope"": ""16 vial rows"", ""observation"": ""Every bottle row has an empty Convex component list, although two standalone short-cap records and cap assemblies exist."", ""action"": ""Reso",small-format-neck-reference-2026-09-23/review-issues.csv,Resolve exact cap links and any source-evidenced dropper/reducer SKU; do not assume all physical assemblies from thread alone.
review-2026-09-23,CP13-425Blk / CP13-425Wht,,small-format-neck,"{""thread"": ""13-425"", ""scope"": ""CP13-425Blk / CP13-425Wht"", ""observation"": ""The black component record links to a 20-400 cap page; the white record links to an unrelated dropper page. Their IDs and nec",small-format-neck-reference-2026-09-23/review-issues.csv,Find exact 13-425 component pages or supplier SKUs and replace the bad URLs only after identity is established.
review-2026-09-23,2 mL blue vial,,small-format-neck,"{""thread"": ""13-425"", ""scope"": ""2 mL blue vial"", ""observation"": ""Legacy source also shows a white-cap blue 2 mL assembly not present among the current 16 bottle rows."", ""action"": ""Check exact SKU and s",small-format-neck-reference-2026-09-23/review-issues.csv,Check exact SKU and sellability before adding a missing assembly.
review-2026-09-23,GBVBlu1o9BlackCapSht,,small-format-neck,"{""thread"": ""13-425"", ""scope"": ""GBVBlu1o9BlackCapSht"", ""observation"": ""Cached legacy exact-SKU result says 2 mL and the current white-cap sibling says 2 mL; Convex capacityMl is 3.0. The stored black-c",small-format-neck-reference-2026-09-23/review-issues.csv,Confirm the black-cap SKU with Best Bottles and reconcile capacity before using the Convex 2/3 mL buckets as product labels.
review-2026-09-23,Green 5/8-dram vial labels,,small-format-neck,"{""thread"": ""13-425"", ""scope"": ""Green 5/8-dram vial labels"", ""observation"": ""The general Best Bottles vial guide calls colored small vials 2 mL, while the exact green 5/8-dram product pages list 3 mL a",small-format-neck-reference-2026-09-23/review-issues.csv,Use exact-SKU pages for the current sheet and resolve the general-guide wording with Best Bottles.
review-2026-09-23,GBVGreen2o4BlackCapSht,,small-format-neck,"{""thread"": ""13-425"", ""scope"": ""GBVGreen2o4BlackCapSht"", ""observation"": ""The current Convex/Shopify primary image URL returned HTTP 404 during source preparation; the Best Bottles legacy GIF remains av",small-format-neck-reference-2026-09-23/review-issues.csv,Repair the primary image URL using an exact-SKU source asset; keep the legacy fallback until the replacement is verified.
review-2026-09-23,Five cap choices,,small-format-neck,"{""thread"": ""8-425"", ""scope"": ""Five cap choices"", ""observation"": ""Four vial rows each list five cap records; tall-cap choices are not represented as exact vial assemblies."", ""action"": ""Verify liner/sea",small-format-neck-reference-2026-09-23/review-issues.csv,Verify liner/seating and exact sellable pairing before exposing tall caps on every vial.
review-2026-09-23,Local master closure filenames,,small-format-neck,"{""thread"": ""8-425"", ""scope"": ""Local master closure filenames"", ""observation"": ""The five master closure images used for this 8-425 panel are stored with an 8-245 filename prefix, while exact cap SKUs a",small-format-neck-reference-2026-09-23/review-issues.csv,Correct media archive labeling after confirming file-to-SKU mapping; do not change the verified product neck.
review-2026-09-23,3 and 4 mL Cylinder sprays,,small-format-neck,"{""thread"": ""12 mm"", ""scope"": ""3 and 4 mL Cylinder sprays"", ""observation"": ""Four sold black/white spray assemblies; zero standalone component rows or selector lists."", ""action"": ""Represent black/white ",small-format-neck-reference-2026-09-23/review-issues.csv,Represent black/white spray as assembly evidence until exact standalone SKUs and seating are established.
review-2026-09-23,Requested possible thread,,small-format-neck,"{""thread"": ""14-425"", ""scope"": ""Requested possible thread"", ""observation"": ""No matching rows in the current 2,540-record Convex export."", ""action"": ""Keep separate and unpopulated pending an exact produ",small-format-neck-reference-2026-09-23/review-issues.csv,Keep separate and unpopulated pending an exact product SKU or source page.
