graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-SLK-WHT-5ML-WHT-S,GBSleek5WhtSht,Sleek,"Sleek design 5ml, 1/6oz Clear glass bottle with short white cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",Clear,5 ml (0.17 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-5ml-unknown-applicator/cap-on/GB-SLK-WHT-5ML-WHT-S.png
CMP-ROC-SSLV-13415,CPRoll13-415SlSh,Roll-On Cap,"Shiny Silver cap or closure for rollon bottles, Threadsize 13-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SSLV-13415.png
CMP-ROC-MCPR-13415,CPRoll13-415Cu,Roll-On Cap,"Matte Copper cap or closure for rollon bottles, Threadsize 13-415",Copper,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-MCPR-13415.png
CMP-ROC-SGLD-13415,CPRoll13-415GlSh,Roll-On Cap,"Shiny Gold cap or closure for rollon bottles, Threadsize 13-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SGLD-13415.png
GB-CYL-AMB-5ML-WHT-S,GBTulipAmb5WhtSht,Tulip,"Tulip design 5ml, 1/6 oz Amber glass bottle with short white cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",Amber,5 ml (0.17 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/tulip/tulip-5ml-unknown-applicator/cap-on/GB-CYL-AMB-5ML-WHT-S.png
CMP-ROC-SBLK-13415,CPRoll13-415BlkSh,Roll-On Cap,"Shiny Black cap or closure for rollon bottles, Threadsize 13-415",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SBLK-13415.png
GB-SQR-CLR-15ML-ROL-SBLK,GBSqr15RollBlkSh,Square,"Square design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",Clear,15 ml (0.51 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/square/square-15ml-plastic-roller-ball/cap-on/GB-SQR-CLR-15ML-ROL-SBLK.png
GB-SLK-WHT-8ML-WHT-S,GBSleek8WhtSht,Sleek,"Sleek design 8ml, 1/3oz Clear glass bottle with short white cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",Clear,8 ml (0.27 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-8ml-unknown-applicator/cap-on/GB-SLK-WHT-8ML-WHT-S.png
GB-SQR-CLR-15ML-ROL-SLDT,GBSqr15RollSlDot,Square,"Square design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. P",Clear,15 ml (0.51 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/square/square-15ml-plastic-roller-ball/cap-on/GB-SQR-CLR-15ML-ROL-SLDT.png
CMP-CAP-SSLV-15-415,CP15-415ShnSl,Roll-On Cap,Shiny Silver color Cap or Closure for 15-415,Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-CAP-SSLV-15-415.png
CMP-SPR-SGLD-15-415,Spry15-415ShnGl,Sprayer,"Shiny Gold Fine Mist Sprayer, Thread size 15-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sprayer/sprayer-unknown-size-unknown-applicator/cap-on/CMP-SPR-SGLD-15-415.png
CMP-SPR-SSLV-15-415,Spry15-415ShnSl,Sprayer,"Shiny Silver Fine Mist Sprayer, Thread size 15-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sprayer/sprayer-unknown-size-unknown-applicator/cap-on/CMP-SPR-SSLV-15-415.png
CMP-SPR-SLV-15-415,Spry15-415MattSl,Sprayer,"Matte Silver Fine Mist Sprayer, Thread size 15-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sprayer/sprayer-unknown-size-unknown-applicator/cap-on/CMP-SPR-SLV-15-415.png
OTH-PLS-CLR-30ML,PB1ozClearcap,Plastic Bottle,Clear Plastic Bottle With Clear Screw on Cap.Capacity: 1oz (30ml),Clear,30 ml (1.01 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/plastic-bottle/plastic-bottle-30ml-unknown-applicator/cap-on/OTH-PLS-CLR-30ML.png
CMP-SPR-GLD-15-415,Spry15-415MattGl,Sprayer,"Matte Gold Fine Mist Sprayer, Thread size 15-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sprayer/sprayer-unknown-size-unknown-applicator/cap-on/CMP-SPR-GLD-15-415.png
CMP-SPR-CLR-30ML,PB1ozSpryNat,Plastic Bottle,Plastic Bottle with Clear Spray Top and Clear Cap. Capacity: 1oz (28ml).,Clear,30 ml (1.01 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/plastic-bottle/plastic-bottle-30ml-unknown-applicator/cap-on/CMP-SPR-CLR-30ML.png
CMP-ROC-MSLV-17415,CpRoll17-415MattSl,Roll-On Cap,"Matte Silver cap or closure for rollon bottles, Threadsize 17-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-MSLV-17415.png
GB-SLK-CLR-50ML-SPR-SSLV,GBSlk50SpryShnSl,Sleek,"Sleek design 50 ml, 1.7oz  clear glass bottle  with shiny silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pric",Clear,50 ml (1.69 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-perfume-spray-pump/cap-on/GB-SLK-CLR-50ML-SPR-SSLV.png
CMP-ROC-SLV-17415-DOT,CpRoll17-415SlDot,Roll-On Cap,"Silver with dots cap or closure for rollon bottles, Threadsize 17-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SLV-17415-DOT.png
GB-SLK-CLR-50ML-SPR-MGLD,GBSlk50SpryMtGl,Sleek,"Sleek design 50 ml, 1.7oz  clear glass bottle  with matte gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Price",Clear,50 ml (1.69 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-perfume-spray-pump/cap-on/GB-SLK-CLR-50ML-SPR-MGLD.png
CMP-ROC-PNK-17415-DOT,CpRoll17-415PnkDot,Roll-On Cap,"Pink with dots cap or closure for rollon bottles, Threadsize 17-415",Pink,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-PNK-17415-DOT.png
CMP-ROC-MGLD-17415,CpRoll17-415MattGl,Roll-On Cap,"Matte gold cap or closure for rollon bottles, Threadsize 17-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-MGLD-17415.png
GB-SLM-CLR-50ML-SPR-SSLV,GBSlm50SpryShnSl,Slim,"Slim design 50 ml, 1.7oz  clear glass bottle  with shiny silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each",Clear,50 ml (1.69 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-SSLV.png
CMP-ROC-SGLD-17415,CpRoll17-415ShnGl,Roll-On Cap,"Shiny gold cap or closure for rollon bottles, Threadsize 17-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SGLD-17415.png
GB-SLM-CLR-50ML-SPR-MSLV,GBSlm50SpryMtSl,Slim,"Slim design 50 ml, 1.7oz  clear glass bottle  with matte silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each",Clear,50 ml (1.69 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-MSLV.png
CMP-ROC-SSLV-17415,CpRoll17-415ShnSl,Roll-On Cap,"Shiny silver cap or closure for rollon bottles, Threadsize 17-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SSLV-17415.png
GB-SLM-CLR-50ML-SPR-SBLK,GBSlm50SpryShnBlk,Slim,"Slim design 50 ml, 1.7oz  clear glass bottle  with shiny black spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each",Clear,50 ml (1.69 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-SBLK.png
CMP-ROC-CPR-17415,CpRoll17-415Cu,Roll-On Cap,"Copper cap or closure for rollon bottles, Threadsize 17-415",Copper,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-CPR-17415.png
GB-SLM-CLR-50ML-SPR-MGLD,GBSlm50SpryMtGl,Slim,"Slim design 50 ml, 1.7oz  clear glass bottle  with matte gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Slim design bottle is a family of bottles available 30ml, 50ml and 100ml. Price each",Clear,50 ml (1.69 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-perfume-spray-pump/cap-on/GB-SLM-CLR-50ML-SPR-MGLD.png
CMP-ROC-SBLK-17415,CpRoll17-415ShnBlk,Roll-On Cap,"Shiny black cap or closure for rollon bottles, Threadsize 17-415",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SBLK-17415.png
